file,z,v_cz_kms,v_rel_kms,D_L_Mpc,D_L_cm,F_Halpha(1e-17),F_Hbeta(1e-17),F_OIII(1e-17),L_Halpha(erg/s),L_Hbeta(erg/s),L_OIII(erg/s)
spectrum_24.fits,0.010031311,3007.311381652438,2992.2284951182946,44.78795977761805,1.382012034065331e+26,75.87693,51.262047,68.051186,1.8211397105141417e+38,1.2303522221305253e+38,1.6333122224658274e+38
spectrum_25.fits,0.010033084,3007.8429136804716,2992.7546952420084,44.79593587813189,1.3822581508107638e+26,940.38763,606.39545,1222.3357,2.2578500237564498e+39,1.4559421429100498e+39,2.934801140762939e+39
spectrum_26.fits,0.010034291,3008.204763177278,2993.1129144149863,44.801365756724266,1.3824256993571908e+26,73.6425,80.318565,100.61069,1.7685689049776425e+38,1.9288986190233307e+38,2.4162261987621967e+38
spectrum_27.fits,0.010041282,3010.300612251156,2995.1877278966067,44.8328160579934,1.383396154252764e+26,1108.0948,625.9906,1387.699,2.6648938154615823e+39,1.5054654876794703e+39,3.3373231990820844e+39
spectrum_28.fits,0.010042007,3010.517961783206,2995.4028950992533,44.83607762283421,1.3834967956278627e+26,238.19073,234.84346,271.19287,5.7291611021077255e+38,5.648649786313647e+38,6.522955960431194e+38
spectrum_29.fits,0.01004364,3011.00752286712,2995.8875400972584,44.84342402940459,1.38372348204845e+26,1072.2521,740.61755,820.9514,2.5799149646135603e+39,1.7819786040059348e+39,1.9752675719454902e+39
spectrum_3.fits,0.010000561,2998.0927635689377,2983.102200975984,44.64962975284899,1.3777436155025605e+26,529.5853,363.82922,323.41904,1.263230491500999e+39,8.678491725563856e+38,7.714579556116481e+38
spectrum_30.fits,0.010045351,3011.5204677627576,2996.3953332335877,44.85112135520384,1.3839609967050118e+26,870.0466,752.9246,824.83325,2.0941128412268313e+39,1.8122122117775936e+39,1.985288949690581e+39
spectrum_31.fits,0.010046201,3011.7752913520576,2996.647597177281,44.85494528240535,1.3840789907694015e+26,549.2718,289.89478,257.74478,1.3222662699071131e+39,6.978659552814166e+38,6.204710105973573e+38
spectrum_32.fits,0.010056317,3014.807991857186,2999.649818265312,44.90045488750628,1.385483270451426e+26,463.36243,291.73337,510.75946,1.1177205967753397e+39,7.037178141863615e+38,1.2320514816875641e+39
spectrum_33.fits,0.0100472905,3012.101915235049,2996.9709398802547,44.85984666442885,1.3842302316156839e+26,1142.587,493.0514,774.66974,2.751159708670456e+39,1.1871858737965341e+39,1.8652760588158433e+39
spectrum_34.fits,0.0100477785,3012.2482139545527,2997.115768804863,44.862042054282036,1.3842979742682099e+26,413.31473,267.6343,360.97836,9.952906265815311e+38,6.444820152954855e+38,8.692610062718391e+38
spectrum_35.fits,0.010048265,3012.39406298537,2997.260152487584,44.86423069760338,1.3843655087445156e+26,492.65295,373.41208,414.77924,1.1864583372085809e+39,8.992900083728265e+38,9.989147276983503e+38
spectrum_36.fits,0.0100482805,3012.3987097684685,2997.2647525831694,44.86430042830059,1.3843676604090067e+26,109.84045,120.84868,128.25803,2.6453007694658556e+38,2.9104132966765243e+38,3.0888535639573104e+38
spectrum_37.fits,0.010048441,3012.4468264579777,2997.3123858270274,44.865022478518306,1.384389940550702e+26,583.5907,388.79303,701.1181,1.405513742353322e+39,9.363650698960544e+38,1.6885655041498274e+39
spectrum_38.fits,0.010048723,3012.531367931134,2997.396077862951,44.86629112791818,1.3844290869808214e+26,743.485,553.0486,742.2432,1.7907027705045435e+39,1.3320317965307423e+39,1.7877118632227388e+39
spectrum_39.fits,0.010050614,3013.098275469212,2997.9572887364784,44.87479829071234,1.384691590595982e+26,369.50665,241.38776,421.85114,8.903038105465501e+38,5.81609133549548e+38,1.0164246771347856e+39
spectrum_4.fits,0.009944479,2981.279802939382,2966.4568914643246,44.39735913923211,1.3699593577334938e+26,162.55788,112.88591,143.27051,3.833833582532071e+38,2.662348898452003e+38,3.3789521161600826e+38
spectrum_41.fits,0.010052132,3013.5533604204556,2998.4077999154697,44.88162743190505,1.3849023158747737e+26,2259.5369,1149.6821,4198.411,5.445873952162906e+39,2.770932309916226e+39,1.0118895206081483e+40
spectrum_42.fits,0.01005848,3015.4564429438396,3000.2917482724083,44.91018582645621,1.3857835358530725e+26,203.14655,184.708,230.22932,4.9024154214646835e+38,4.457448810565076e+38,5.555987875951265e+38
spectrum_43.fits,0.010086028,3023.715125576824,3008.4672556895853,45.034121958426795,1.3896078052926565e+26,20.95642,18.56156,19.674347,5.085239918737175e+37,4.5041083289051845e+37,4.774134835028453e+37
spectrum_44.fits,0.010065602,3017.591564829716,3002.4053886222373,44.94222661596388,1.3867722113118437e+26,345.11685,200.04233,397.66116,8.340388654943117e+38,4.834393857154141e+38,9.610219342740058e+38
spectrum_45.fits,0.010065945,3017.6943936428097,3002.5071824873476,44.943769729143,1.3868198268092689e+26,9072.548,8046.757,8335.677,2.192700029989276e+40,1.9447815889446291e+40,2.0146092594804588e+40
spectrum_46.fits,0.010067575,3018.18305534935,3002.9909254460886,44.95110290170155,1.3870461048709203e+26,17529.291,8012.9927,7681.575,4.237951760341693e+40,1.9372532818680534e+40,1.857128408299385e+40
spectrum_47.fits,0.010069213,3018.674115395554,3003.4770418011412,44.95847208327351,1.3872734940546256e+26,237.02249,233.16663,259.96997,5.732229862032018e+38,5.63897847548294e+38,6.287199266472847e+38
spectrum_49.fits,0.010069554,3018.776344623732,3003.5782417470946,44.960006206978875,1.3873208321658743e+26,461.8903,290.76486,408.5752,1.1171269303189122e+39,7.032432928260417e+38,9.881791390302755e+38
spectrum_5.fits,0.010005968,2999.713741389344,2984.7069653288854,44.67395288416571,1.3784941489127172e+26,346.6489,398.8499,501.87357,8.277697367614557e+38,9.52421532941062e+38,1.1984337839422883e+39
spectrum_50.fits,0.010071943,3019.492548805894,3004.287233939421,44.97075409261885,1.3876524772635512e+26,65.67071,50.25846,58.7344,1.5890699182670833e+38,1.216131315230633e+38,1.421228249359055e+38
spectrum_51.fits,0.010078469,3021.4489943868016,3006.223969903934,45.00011414644798,1.3885584338624705e+26,447.52322,387.50256,522.0832,1.0843107392005785e+39,9.388857795484143e+38,1.2649632359103142e+39
spectrum_52.fits,0.0100794425,3021.740842344665,3006.512876634205,45.00449388479546,1.3886935784667866e+26,329.1971,327.50934,342.2462,7.977718710196475e+38,7.936817758972055e+38,8.293948862956707e+38
spectrum_54.fits,0.010084021,3023.113442113618,3007.8716396094305,45.02509246225145,1.3893291841534524e+26,794.34045,690.71027,898.0819,1.926756619653751e+39,1.6753906778703384e+39,2.1783924585688895e+39
spectrum_55.fits,0.010086194,3023.7648911248516,3008.516519347234,45.03486879390118,1.3896308502274604e+26,189.17526,137.97774,148.02492,4.590638531190378e+38,3.3482492884670428e+38,3.592060089296947e+38
spectrum_56.fits,0.010086698,3023.915986523684,3008.6660908835775,45.03713629551197,1.3897008180163244e+26,322.34,332.4693,339.18774,7.822880423661702e+38,8.068708749886794e+38,8.231758798759245e+38
spectrum_57.fits,0.010088581,3024.4804957220977,3009.224906088912,45.04560794857343,1.3899622259156238e+26,257.59137,132.16925,153.98724,6.253845799611259e+38,3.2088268677256945e+38,3.7385276302840854e+38
spectrum_58.fits,0.0100899385,3024.8874639838327,3009.627768754852,45.05171538184829,1.3901506816149906e+26,329.62173,166.80005,267.515,8.004780957478224e+38,4.050697337054859e+38,6.496534612083332e+38
spectrum_6.fits,0.010006177,2999.776398013066,2984.7689950678728,44.674893064629245,1.3785231598505062e+26,176.72507,163.80377,185.3566,4.220230385782337e+38,3.911667130530496e+38,4.426353066519098e+38
spectrum_60.fits,0.010094975,3026.39736869855,3011.122436354244,45.07437485480726,1.3908498798921696e+26,1024.1498,779.3543,824.32056,2.4896245807322808e+39,1.8945466985194942e+39,2.003856006786311e+39
spectrum_61.fits,0.010099412,3027.727547834696,3012.43918576643,45.09433728758411,1.391465856205085e+26,443.09155,320.21188,471.18085,1.078073671855884e+39,7.790985796128944e+38,1.1464169629677582e+39
spectrum_62.fits,0.01009961,3027.78690674138,3012.4979452375514,45.095228109168175,1.3914933440869956e+26,348.49725,263.34998,346.64447,8.479524241306453e+38,6.407747950256622e+38,8.434442987655793e+38
spectrum_63.fits,0.010100261,3027.9820716315376,3012.691139173509,45.09815702441481,1.391583720968142e+26,168.47298,172.87422,187.66551,4.099763467350308e+38,4.206866950431339e+38,4.566810665898258e+38
spectrum_64.fits,0.010100654,3028.099890067532,3012.8077677092274,45.099925172785255,1.3916382803260163e+26,214.25113,112.89904,203.56912,5.2141763835544524e+38,2.747595814752387e+38,4.954210966938482e+38
spectrum_65.fits,0.010100736,3028.124473049088,3012.8321024106444,45.100294099548115,1.3916496642164301e+26,455.94354,335.41205,462.41254,1.1096365902123826e+39,8.162973061930985e+38,1.1253802919480931e+39
spectrum_66.fits,0.01008072,3022.12382720976,3006.8920013680863,45.01024131688898,1.3888709256904079e+26,97.154144,101.557884,120.51197,2.3550219908349387e+38,2.461768899560926e+38,2.921217025069362e+38
spectrum_67.fits,0.010106437,3029.8335898521455,3014.5239527448634,45.12594361852868,1.3924411256733737e+26,86.00572,94.50304,78.58046,2.095515527604163e+38,2.3025513620000774e+38,1.9146002625904166e+38
spectrum_68.fits,0.01010736,3030.1102982908797,3014.7978648015705,45.1300963326325,1.3925692650414986e+26,167.49203,148.09552,193.38115,4.081667484890117e+38,3.6089876553642215e+38,4.7125678287238996e+38
spectrum_69.fits,0.01010843,3030.4310762209398,3015.115400669154,45.13491042873542,1.3927178125256978e+26,1587.04,1343.5153,1546.719,3.868334287916831e+39,3.2747544493717034e+39,3.7700537739895866e+39
spectrum_7.fits,0.010006329,2999.8219664666817,2984.814107597147,44.67557683242346,1.3785442587200417e+26,186.4824,103.52108,183.88757,4.453373716370112e+38,2.4721799846111353e+38,4.391406754767041e+38
spectrum_70.fits,0.010109445,3030.73536556581,3015.4166142824797,45.13947707840928,1.3928587246109095e+26,201.22444,209.52016,248.49425,4.9057422814224164e+38,5.107987418041217e+38,6.058154511029337e+38
spectrum_71.fits,0.010110062,3030.9203375123957,3015.599716397001,45.14225306489402,1.3929443826035344e+26,119.81353,111.99422,131.44524,2.921347904311234e+38,2.730693936586054e+38,3.204957540318587e+38
spectrum_72.fits,0.010113757,3032.0280706447056,3016.696249363075,45.15887754314947,1.3934573604021027e+26,1135.319,954.6594,1012.9275,2.7702255968453913e+39,2.329408656200648e+39,2.4715852445423802e+39
spectrum_74.fits,0.010098475,3027.44664230155,3012.1611167966857,45.09012163547857,1.3913357747731508e+26,283.0945,247.21124,282.7671,6.88660542103154e+38,6.0137030762658014e+38,6.878641032409206e+38
spectrum_75.fits,0.010117349,3033.1049251538416,3017.762211993901,45.17503869356326,1.393956041397332e+26,1351.9242,1028.3451,1255.546,3.301112788680044e+39,2.5110011055253383e+39,3.065777620798618e+39
spectrum_76.fits,0.010121591,3034.3766447606777,3019.021063773664,45.194124439953065,1.3945449659949425e+26,271.85672,228.57198,240.50276,6.643775999051638e+38,5.585960997321351e+38,5.877531607803097e+38
spectrum_78.fits,0.010124035,3035.1093375280298,3019.7463403795755,45.20512062029744,1.3948842726666494e+26,295.377,223.27513,235.82503,7.222089972309516e+38,5.4591693917911804e+38,5.766019643989175e+38
spectrum_79.fits,0.010124655,3035.2952088519896,3019.9303300686092,45.20791016506392,1.3949703490241343e+26,110.41107,90.396736,89.9645,2.699929572140329e+38,2.210510420299e+38,2.1999407667439385e+38
spectrum_8.fits,0.010007663,3000.221889605654,2985.2100291026454,44.68157780117181,1.3787294292673819e+26,1169.5306,779.19305,778.8994,2.7936985663820544e+39,1.8612856360661794e+39,1.8605841840614024e+39
spectrum_80.fits,0.010125365,3035.5080614971703,3020.141027796737,45.21110464692014,1.3950689204346165e+26,769.2085,352.26056,275.85623,1.8812445976944584e+39,8.615196991203617e+38,6.7465848651940274e+38
spectrum_81.fits,0.010126488,3035.8447284275035,3020.474286007664,45.216157334291836,1.3952248300761077e+26,779.2817,560.4951,809.3379,1.9063065272154375e+39,1.371102988306115e+39,1.9798310694230792e+39
spectrum_82.fits,0.010127797,3036.237156755026,3020.862740560029,45.222046897763406,1.3954065630157977e+26,660.2224,703.05927,778.88446,1.615480207556232e+39,1.7202965779772588e+39,1.905831170077119e+39
spectrum_83.fits,0.010127806,3036.239854887148,3020.865411368824,45.22208739136418,1.3954078125177585e+26,503.03815,286.79816,281.9445,1.2308725519244412e+39,7.017598627190288e+38,6.898835529990333e+38
spectrum_84.fits,0.010129433,3036.727617216314,3021.3482338393273,45.22940774346597,1.3956336949814498e+26,1248.0116,716.5794,1265.4393,3.0547197888642685e+39,1.7539494612650108e+39,3.097377036652982e+39
spectrum_85.fits,0.010112511,3031.654529242038,3016.3264852531133,45.153271551869004,1.393284377585941e+26,2781.4204,1454.4415,3212.399,6.785096593675082e+39,3.5480167138163214e+39,7.836441234279163e+39
spectrum_86.fits,0.010133936,3038.077582654688,3022.6845232401142,45.24966815918436,1.3962588660871891e+26,7633.606,7281.6953,7312.9355,1.8701286875640205e+40,1.7839153965544064e+40,1.7915688167368517e+40
spectrum_87.fits,0.010134335,3038.1971998454296,3022.8029283370124,45.25146339246363,1.396314261198023e+26,465.71213,430.49866,528.99695,1.1410213249498762e+39,1.0547463116804501e+39,1.2960727494545685e+39
spectrum_88.fits,0.010134766,3038.3264103948277,3022.9308295283595,45.25340260555339,1.396374099061591e+26,104.21826,105.78378,130.52538,2.5536257634637724e+38,2.591985185365633e+38,3.1982204764683177e+38
spectrum_89.fits,0.010123821,3035.0451819420177,3019.6828342344015,45.204157778025944,1.3948545624585326e+26,8566.427,7165.135,7263.6206,2.0944376536040593e+40,1.7518305516589734e+40,1.7759096629357972e+40
spectrum_9.fits,0.010007736,3000.2437744550875,2985.231694956691,44.68190619036142,1.3787395622989857e+26,791.49255,430.77515,1252.8855,1.8906936721905797e+39,1.0290227624277042e+39,2.9928553172475604e+39
spectrum_92.fits,0.01013759,3039.17302429622,3023.768862871154,45.266108756536035,1.3967661699139331e+26,164.31355,165.31912,167.53088,4.028382106427547e+38,4.053035095756549e+38,4.107259561162549e+38
spectrum_93.fits,0.010137606,3039.177820975548,3023.7736109286134,45.266180746212655,1.3967683912832455e+26,909.4252,516.88385,978.99713,2.229593271810789e+39,1.2672188479796439e+39,2.400159368983917e+39
spectrum_94.fits,0.01013905,3039.6107212848997,3024.202122798044,45.27267782160907,1.3969688700822053e+26,181.78673,116.81085,136.8172,4.45805578350453e+38,2.8646166055056943e+38,3.3552433103499697e+38
spectrum_95.fits,0.010139111,3039.6290086248378,3024.2202247399796,45.27295228285872,1.3969773390714556e+26,3087.578,1324.7585,3495.188,7.57192884953161e+39,3.248817391758919e+39,8.571545350995728e+39
spectrum_96.fits,0.010140014,3039.899721214412,3024.488192701015,45.27701521215039,1.3971027079697605e+26,158.6577,173.83179,178.71529,3.891595451237831e+38,4.263789297617008e+38,4.38357299791091e+38
spectrum_97.fits,0.010140172,3039.947088422776,3024.5350796502553,45.27772611285534,1.3971246440734399e+26,239.93378,220.44337,247.56921,5.885340126415707e+38,5.407259499113899e+38,6.072629730078177e+38
spectrum_98.fits,0.010142371,3040.606332037918,3025.187638375778,45.28762024830463,1.3974299451928808e+26,101.78064,78.96457,86.87521,2.4976704300056775e+38,1.9377700072146666e+38,2.1318950550667935e+38
