file,z_SDSS,z_measured,delta_z
spectrum_87.fits,0.010134335,0.010440638785084083,0.00030630410911638983
spectrum_88.fits,0.010134766,0.010440638785084083,0.00030587290676434287
spectrum_89.fits,0.010123821,0.013703138451765986,0.0035793174763431267
spectrum_9.fits,0.010007736,0.010208208934258216,0.00020047266114830292
spectrum_92.fits,0.01013759,0.010440638785084083,0.00030304913671810874
spectrum_93.fits,0.010137606,0.010440638785084083,0.00030303237291176566
spectrum_94.fits,0.01013905,0.010208208934258216,6.91589720952443e-05
spectrum_95.fits,0.010139111,0.010440638785084083,0.00030152735563118704
spectrum_96.fits,0.010140014,0.010440638785084083,0.00030062490405638465
spectrum_97.fits,0.010140172,0.010440638785084083,0.0003004665792187
spectrum_98.fits,0.010142371,0.010440638785084083,0.00029826772662003287
